date,count
1/1/2017,921911
1/2/2017,922968
1/3/2017,924026
1/4/2017,925083
1/5/2017,926140
1/6/2017,927198
1/7/2017,928255
1/8/2017,929312
1/9/2017,930370
1/10/2017,931427
1/11/2017,932484
1/12/2017,933541
1/13/2017,934599
1/14/2017,935656
1/15/2017,936713
1/16/2017,937771
1/17/2017,938828
1/18/2017,939885
1/19/2017,940943
1/20/2017,942000
1/21/2017,941924
1/22/2017,941847
1/23/2017,941771
1/24/2017,941695
1/25/2017,941619
1/26/2017,941542
1/27/2017,941466
1/28/2017,941390
1/29/2017,941314
1/30/2017,941237
1/31/2017,941161
2/1/2017,936301
2/2/2017,931441
2/3/2017,926581
2/4/2017,921720
2/5/2017,916860
2/6/2017,912000
2/7/2017,913643
2/8/2017,915286
2/9/2017,916929
2/10/2017,918571
2/11/2017,920214
2/12/2017,921857
2/13/2017,923500
2/14/2017,925143
2/15/2017,926786
2/16/2017,928429
2/17/2017,930071
2/18/2017,931714
2/19/2017,933357
2/20/2017,935000
2/21/2017,931750
2/22/2017,928500
2/23/2017,925250
2/24/2017,922000
2/25/2017,918750
2/26/2017,915500
2/27/2017,912250
2/28/2017,909000
3/1/2017,909093
3/2/2017,909187
3/3/2017,909280
3/4/2017,909373
3/5/2017,909467
3/6/2017,909560
3/7/2017,894081
3/8/2017,878602
3/9/2017,879071
3/10/2017,879539
3/11/2017,880008
3/12/2017,880476
3/13/2017,880945
3/14/2017,881413
3/15/2017,881882
3/16/2017,882350
3/17/2017,882819
3/18/2017,883287
3/19/2017,883756
3/20/2017,884224
3/21/2017,884693
3/22/2017,885161
3/23/2017,885630
3/24/2017,886098
3/25/2017,886567
3/26/2017,887035
3/27/2017,887504
3/28/2017,887972
3/29/2017,888441
3/30/2017,888909
3/31/2017,889378
4/1/2017,889846
4/2/2017,890315
4/3/2017,890783
4/4/2017,891252
4/5/2017,891720
4/6/2017,892189
4/7/2017,892657
4/8/2017,893126
4/9/2017,893594
4/10/2017,894063
4/11/2017,894531
4/12/2017,895000
4/13/2017,891111
4/14/2017,887222
4/15/2017,883333
4/16/2017,879444
4/17/2017,875556
4/18/2017,871667
4/19/2017,867778
4/20/2017,863889
4/21/2017,860000
4/22/2017,863556
4/23/2017,867111
4/24/2017,870667
4/25/2017,874222
4/26/2017,877778
4/27/2017,881333
4/28/2017,884889
4/29/2017,888444
4/30/2017,892000
5/1/2017,895407
5/2/2017,898815
5/3/2017,902222
5/4/2017,905630
5/5/2017,909037
5/6/2017,912444
5/7/2017,915852
5/8/2017,919259
5/9/2017,922667
5/10/2017,926074
5/11/2017,929481
5/12/2017,932889
5/13/2017,936296
5/14/2017,939704
5/15/2017,943111
5/16/2017,946519
5/17/2017,949926
5/18/2017,953333
5/19/2017,956741
5/20/2017,960148
5/21/2017,963556
5/22/2017,966963
5/23/2017,970370
5/24/2017,973778
5/25/2017,977185
5/26/2017,980593
5/27/2017,984000
5/28/2017,985688
5/29/2017,987375
5/30/2017,989063
5/31/2017,990750
6/1/2017,992438
6/2/2017,994125
6/3/2017,995813
6/4/2017,997500
6/5/2017,999188
6/6/2017,1000875
6/7/2017,1002563
6/8/2017,1004250
6/9/2017,1005938
6/10/2017,1007625
6/11/2017,1009313
6/12/2017,1011000
6/13/2017,1012688
6/14/2017,1014375
6/15/2017,1016063
6/16/2017,1017750
6/17/2017,1019438
6/18/2017,1021125
6/19/2017,1022813
6/20/2017,1024500
6/21/2017,1026188
6/22/2017,1027875
6/23/2017,1029563
6/24/2017,1031250
6/25/2017,1032938
6/26/2017,1034625
6/27/2017,1036313
6/28/2017,1038000
6/29/2017,1100000
6/30/2017,1100526.718
7/1/2017,1101053.435
7/2/2017,1101580.153
7/3/2017,1102106.87
7/4/2017,1102633.588
