registrar,count,share
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","1,185,374",45.8
ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,"543,606",21.0
West263 International Limited,"332,172",12.8
Alpnames Limited,"93,821",3.6
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","52,452",2.0
"NameCheap, Inc.","35,446",1.4
"Todaynic.com, Inc.","32,624",1.3
PDR Ltd. d/b/a PublicDomainRegistry.com,"19,355",0.7
Eranet International Limited,"18,640",0.7
"NameSilo, LLC","5,282",0.2
