registrar,count,share,,,,,,
"NameCheap, Inc.","193,316",35.5,,,,,,
Alpnames Limited,"170,057",31.2,,,,,,
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","107,413",19.7,,,,,,
West263 International Limited,"25,714",4.7,,,,,,
PDR Ltd. d/b/a PublicDomainRegistry.com,"22,106",4.1,,,,,,
ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,"6,384",1.2,,,,,,
"URL Solutions, Inc.","2,804",0.5,,,,,,
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","2,756",0.5,,,,,,
"Global Domains International, Inc. DBA DomainCostClub.com","2,196",0.4,,,,,,
"Dynadot, LLC","1,159",0.2,,,,,,
,,,,,,,,
