,registrars,count,share,url
0,Alibaba Cloud Computing Ltd.,5734708,24.7,http://alibabagroup.com/en/global/home
1,"NameCheap, Inc.",2919295,12.6,
2,"GoDaddy.com, LLC",2008169,8.6,http://godaddy.com/
3,"GMO Internet, Inc. d/b/a Onamae.com",1437891,6.2,
4,"Chengdu West Dimension Digital Technology Co., Ltd.",1180057,5.1,
5,ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,686639,3.0,
6,Alpnames Limited,638352,2.7,
7,West263 International Limited,567608,2.4,
8,PDR Ltd. d/b/a PublicDomainRegistry.com,534500,2.3,
9,"eNom, Inc.",436871,1.9,http://www.tucows.com/
10,Tucows Domains Inc.,420819,1.8,http://www.tucows.com/
11,1&1 Internet SE,324945,1.4,https://www.united-internet.de/
12,Uniregistrar Corp,315431,1.4,
13,"eName Technology Co., Ltd.",293380,1.3,
14,"EIMS (Shenzhen) Culture & Technology Co., Ltd",267230,1.1,
15,"Knet Registrar Co., Ltd",223516,1.0,
16,Gandi SAS,209745,0.9,
17,Xin Net Technology Corporation,207726,0.9,
18,"Name.com, Inc.",191315,0.8,http://rightside.co/
19,Mesh Digital Limited,164236,0.7,http://www.heg.com/
20,"Network Solutions, LLC",163490,0.7,https://www.web.com/
21,"Key-Systems, LLC",163170,0.7,http://www.keydrive.lu/
22,united-domains AG,161914,0.7,https://www.united-internet.de/
23,"Epik, Inc.",153666,0.7,
24,OVH sas,152851,0.7,
25,"NameSilo, LLC",151012,0.6,
26,"22net, Inc.",129513,0.6,
27,Google LLC,128847,0.6,
28,Cronon AG,119898,0.5,https://www.united-internet.de/
29,Automattic Inc.,117608,0.5,
