registrar,count,share
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","739,093",31.21
"GMO Internet, Inc. d/b/a Onamae.com","514,339",21.72
"GoDaddy.com, LLC (GoDaddy Group)","212,631",8.98
Nics Telekomunikasyon A.S.,"69,514",2.94
"NameCheap, Inc.","64,385",2.72
"Hostinger, UAB","61,841",2.61
PDR Ltd. d/b/a PublicDomainRegistry.com,"55,443",2.34
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","51,629",2.18
Xin Net Technology Corporation,"44,454",1.88
Uniregistrar Corp,"44,231",1.87
