,registrars,count,url
0,Alibaba Cloud Computing Ltd.,5734708,http://alibabagroup.com/en/global/home
1,"NameCheap, Inc.",2919295,
2,"GoDaddy.com, LLC",2008169,http://godaddy.com/
3,"GMO Internet, Inc. d/b/a Onamae.com",1437891,
4,"Chengdu West Dimension Digital Technology Co., Ltd.",1180057,
5,ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,686639,
6,Alpnames Limited,638352,
7,West263 International Limited,567608,
8,PDR Ltd. d/b/a PublicDomainRegistry.com,534500,
9,"eNom, Inc.",436871,http://www.tucows.com/
10,Tucows Domains Inc.,420819,http://www.tucows.com/
11,1&1 Internet SE,324945,https://www.united-internet.de/
12,Uniregistrar Corp,315431,
13,"eName Technology Co., Ltd.",293380,
14,"EIMS (Shenzhen) Culture & Technology Co., Ltd",267230,
15,"Knet Registrar Co., Ltd",223516,
16,Gandi SAS,209745,
17,Xin Net Technology Corporation,207726,
18,"Name.com, Inc.",191315,http://rightside.co/
19,Mesh Digital Limited,164236,http://www.heg.com/
20,"Network Solutions, LLC",163490,https://www.web.com/
21,"Key-Systems, LLC",163170,http://www.keydrive.lu/
22,united-domains AG,161914,https://www.united-internet.de/
23,"Epik, Inc.",153666,
24,OVH sas,152851,
25,"NameSilo, LLC",151012,
26,"22net, Inc.",129513,
27,Google LLC,128847,
28,Cronon AG,119898,https://www.united-internet.de/
29,Automattic Inc.,117608,
