,registries,count,url
0,dot Loan Limited,2579520,http://nic.loan
1,"Jiangsu Bangning Science & Technology Co.,Ltd.",2376746,http://www.nic.top/en
2,XYZ.COM LLC,2373510,http://nic.xyz
3,CLUB Domains LLC,1239199,http://dotclub.com
4,Minds + Machines Group Limited,912201,http://mmx.co/
5,DotOnline Inc.,840058,http://radix.website/dot-online/
6,Rightside Registry,755190,http://www.rightside.co
7,"GMO Registry, Inc.",677836,http://www.gmo-registry.com
8,First Registry Limited,676810,http://nic.win
9,Zodiac Registry Limited,617359,http://www.zodiacregistry.com
10,Exclusive Registry Limited,544177,http://www.famousfourmedia.com/
11,DotSite Inc.,497596,http://radix.website/dot-site/
12,"Uniregistry, Corp.",434791,http://www.uniregistry.com
13,dot Bid Limited,387641,http://www.famousfourmedia.com
14,DotSpace Inc.,369337,http://radix.website/
15,Elegant Leader Limited,366872,http://nic.xin/
16,Top Level Domain Holdings Limited,355593,http://mmx.co/
17,"Over Corner, LLC",353952,http://donuts.co
18,DotWebsite Inc.,259016,http://radix.website/
19,dot Stream Limited,242465,
20,Dot Tech LLC,240542,http://radix.website/
21,dot Review Limited,235467,http://nic.review
22,"KNET Co., Ltd.",232838,http://knet.cn/
23,DotStore Inc.,190898,http://www.radix.website/
24,"Trixy Oaks, LLC",187662,http://donuts.co
25,Elite Registry Limited,169224,http://www.famousfourmedia.com
26,"Knock Knock WHOIS There, LLC",155953,https://nic.blog/
27,ARUBA S.p.A.,143279,https://www.aruba.it/
28,"Top Level Design, LLC",140234,http://toplevel.design/
29,dot Support Limited,139599,http://nic.support/
