,tlds,count,url
0,loan,2585685,http://nic.loan
1,top,2377265,http://www.nic.top/en
2,xyz,2368201,http://nic.xyz
3,club,1240523,http://dotclub.com
4,vip,882556,http://mmx.co/
5,online,841597,http://radix.website/dot-online/
6,win,677153,http://nic.win
7,wang,617410,http://www.zodiacregistry.com
8,shop,566061,http://www.gmo-registry.com
9,men,544196,http://www.famousfourmedia.com/
10,site,498478,http://radix.website/dot-site/
11,bid,387919,http://www.famousfourmedia.com
12,xin,366882,http://nic.xin/
13,ltd,353952,http://donuts.co
14,space,276127,http://radix.website/
15,work,264686,http://mmx.co/
16,website,259580,http://radix.website/
17,stream,242499,
18,tech,240652,http://radix.website/
19,review,235484,http://nic.review
20,xn--ses554g,232864,http://knet.cn/
21,link,199061,http://www.uniregistry.com
22,store,190990,http://www.radix.website/
23,life,187662,http://donuts.co
24,live,174250,http://www.rightside.co
25,trade,169295,http://www.famousfourmedia.com
26,blog,155993,https://nic.blog/
27,cloud,143303,https://www.aruba.it/
28,download,139756,http://nic.support/
29,date,132389,http://nic.date
