date,count
1/1/2017,6761000
1/2/2017,6756264.706
1/3/2017,6751529.412
1/4/2017,6746794.118
1/5/2017,6742058.824
1/6/2017,6737323.529
1/7/2017,6732588.235
1/8/2017,6727852.941
1/9/2017,6723117.647
1/10/2017,6718382.353
1/11/2017,6713647.059
1/12/2017,6708911.765
1/13/2017,6704176.471
1/14/2017,6699441.176
1/15/2017,6694705.882
1/16/2017,6689970.588
1/17/2017,6685235.294
1/18/2017,6680500
1/19/2017,6675764.706
1/20/2017,6671029.412
1/21/2017,6666294.118
1/22/2017,6661558.824
1/23/2017,6656823.529
1/24/2017,6652088.235
1/25/2017,6647352.941
1/26/2017,6642617.647
1/27/2017,6637882.353
1/28/2017,6633147.059
1/29/2017,6628411.765
1/30/2017,6623676.471
1/31/2017,6618941.176
2/1/2017,6614205.882
2/2/2017,6609470.588
2/3/2017,6604735.294
2/4/2017,6600000
2/5/2017,6603000
2/6/2017,6606000
2/7/2017,6609000
2/8/2017,6612000
2/9/2017,6615000
2/10/2017,6618000
2/11/2017,6621000
2/12/2017,6624000
2/13/2017,6627000
2/14/2017,6630000
2/15/2017,6633000
2/16/2017,6636000
2/17/2017,6639000
2/18/2017,6642000
2/19/2017,6645000
2/20/2017,6648000
2/21/2017,6651000
2/22/2017,6654000
2/23/2017,6657000
2/24/2017,6660000
2/25/2017,6663000
2/26/2017,6666000
2/27/2017,6669000
2/28/2017,6672000
3/1/2017,6675000
3/2/2017,6674600
3/3/2017,6674200
3/4/2017,6673800
3/5/2017,6673400
3/6/2017,6673000
3/7/2017,6672600
3/8/2017,6672200
3/9/2017,6671800
3/10/2017,6671400
3/11/2017,6671000
3/12/2017,6670600
3/13/2017,6670200
3/14/2017,6669800
3/15/2017,6669400
3/16/2017,6669000
3/17/2017,6668600
3/18/2017,6668200
3/19/2017,6667800
3/20/2017,6667400
3/21/2017,6667000
3/22/2017,6666600
3/23/2017,6666200
3/24/2017,6665800
3/25/2017,6665400
3/26/2017,6665000
3/27/2017,6664600
3/28/2017,6664200
3/29/2017,6663800
3/30/2017,6663400
3/31/2017,6663000
4/1/2017,6662600
4/2/2017,6662200
4/3/2017,6661800
4/4/2017,6661400
4/5/2017,6661000
4/6/2017,6660600
4/7/2017,6660200
4/8/2017,6659800
4/9/2017,6659400
4/10/2017,6659000
4/11/2017,6658600
4/12/2017,6658200
4/13/2017,6657800
4/14/2017,6657400
4/15/2017,6657000
4/16/2017,6621466.667
4/17/2017,6585933.333
4/18/2017,6550400
4/19/2017,6514866.667
4/20/2017,6479333.333
4/21/2017,6443800
4/22/2017,6408266.667
4/23/2017,6372733.333
4/24/2017,6337200
4/25/2017,6301666.667
4/26/2017,6266133.333
4/27/2017,6230600
4/28/2017,6195066.667
4/29/2017,6159533.333
4/30/2017,6124000
5/1/2017,6120821.429
5/2/2017,6117642.857
5/3/2017,6114464.286
5/4/2017,6111285.714
5/5/2017,6108107.143
5/6/2017,6104928.571
5/7/2017,6101750
5/8/2017,6098571.429
5/9/2017,6095392.857
5/10/2017,6092214.286
5/11/2017,6089035.714
5/12/2017,6085857.143
5/13/2017,6082678.571
5/14/2017,6079500
5/15/2017,6076321.429
5/16/2017,6073142.857
5/17/2017,6069964.286
5/18/2017,6066785.714
5/19/2017,6063607.143
5/20/2017,6060428.571
5/21/2017,6057250
5/22/2017,6054071.429
5/23/2017,6050892.857
5/24/2017,6047714.286
5/25/2017,6044535.714
5/26/2017,6041357.143
5/27/2017,6038178.571
