date,count
1/1/2017,500000
1/2/2017,500962
1/3/2017,501923
1/4/2017,502885
1/5/2017,503846
1/6/2017,504808
1/7/2017,505769
1/8/2017,506731
1/9/2017,507692
1/10/2017,508654
1/11/2017,509615
1/12/2017,510577
1/13/2017,511538
1/14/2017,512500
1/15/2017,513462
1/16/2017,514423
1/17/2017,515385
1/18/2017,516346
1/19/2017,517308
1/20/2017,518269
1/21/2017,519231
1/22/2017,520192
1/23/2017,521154
1/24/2017,522115
1/25/2017,523077
1/26/2017,524038
1/27/2017,525000
1/28/2017,525962
1/29/2017,526923
1/30/2017,527885
1/31/2017,528846
2/1/2017,529808
2/2/2017,530769
2/3/2017,531731
2/4/2017,532692
2/5/2017,533654
2/6/2017,534615
2/7/2017,535577
2/8/2017,536538
2/9/2017,537500
2/10/2017,538462
2/11/2017,539423
2/12/2017,540385
2/13/2017,541346
2/14/2017,542308
2/15/2017,543269
2/16/2017,544231
2/17/2017,545192
2/18/2017,546154
2/19/2017,547115
2/20/2017,548077
2/21/2017,549038
2/22/2017,550000
2/23/2017,550962
2/24/2017,551923
2/25/2017,552885
2/26/2017,553846
2/27/2017,554808
2/28/2017,555769
3/1/2017,556731
3/2/2017,557692
3/3/2017,558654
3/4/2017,559615
3/5/2017,560577
3/6/2017,561538
3/7/2017,562500
3/8/2017,563462
3/9/2017,564423
3/10/2017,565385
3/11/2017,566346
3/12/2017,567308
3/13/2017,568269
3/14/2017,569231
3/15/2017,570192
3/16/2017,571154
3/17/2017,572115
3/18/2017,573077
3/19/2017,574038
3/20/2017,575000
3/21/2017,575962
3/22/2017,576923
3/23/2017,577885
3/24/2017,578846
3/25/2017,579808
3/26/2017,580769
3/27/2017,581731
3/28/2017,582692
3/29/2017,583654
3/30/2017,584615
3/31/2017,585577
4/1/2017,586538
4/2/2017,587500
4/3/2017,588462
4/4/2017,589423
4/5/2017,590385
4/6/2017,591346
4/7/2017,592308
4/8/2017,593269
4/9/2017,594231
4/10/2017,595192
4/11/2017,596154
4/12/2017,597115
4/13/2017,598077
4/14/2017,599038
4/15/2017,600000
4/16/2017,597386
4/17/2017,594771
4/18/2017,592157
4/19/2017,589542
4/20/2017,586928
4/21/2017,584314
4/22/2017,581699
4/23/2017,579085
4/24/2017,576471
4/25/2017,573856
4/26/2017,571242
4/27/2017,568627
4/28/2017,566013
4/29/2017,563399
4/30/2017,560784
5/1/2017,558170
5/2/2017,555556
5/3/2017,552941
5/4/2017,550327
5/5/2017,547712
5/6/2017,545098
5/7/2017,542484
5/8/2017,539869
5/9/2017,537255
5/10/2017,534641
5/11/2017,532026
5/12/2017,529412
5/13/2017,526797
5/14/2017,524183
5/15/2017,521569
5/16/2017,518954
5/17/2017,516340
5/18/2017,513725
5/19/2017,511111
5/20/2017,508497
5/21/2017,505882
5/22/2017,503268
5/23/2017,500654
5/24/2017,498039
5/25/2017,495425
5/26/2017,492810
5/27/2017,490196
5/28/2017,487582
5/29/2017,484967
5/30/2017,482353
5/31/2017,479739
6/1/2017,477124
6/2/2017,474510
6/3/2017,471895
6/4/2017,469281
6/5/2017,466667
6/6/2017,464052
6/7/2017,461438
6/8/2017,458824
6/9/2017,456209
6/10/2017,453595
6/11/2017,450980
6/12/2017,448366
6/13/2017,445752
6/14/2017,443137
6/15/2017,440523
6/16/2017,437908
6/17/2017,435294
6/18/2017,432680
6/19/2017,430065
6/20/2017,427451
6/21/2017,424837
6/22/2017,422222
6/23/2017,419608
6/24/2017,416993
6/25/2017,414379
6/26/2017,411765
6/27/2017,409150
6/28/2017,406536
6/29/2017,403922
6/30/2017,401307
7/1/2017,398693
7/2/2017,396078
7/3/2017,393464
7/4/2017,390850
7/5/2017,388235
7/6/2017,385621
7/7/2017,383007
7/8/2017,380392
7/9/2017,377778
7/10/2017,375163
7/11/2017,372549
7/12/2017,369935
7/13/2017,367320
7/14/2017,364706
7/15/2017,362092
7/16/2017,359477
7/17/2017,356863
7/18/2017,354248
7/19/2017,351634
7/20/2017,349020
7/21/2017,346405
7/22/2017,343791
7/23/2017,341176
7/24/2017,338562
7/25/2017,335948
7/26/2017,333333
7/27/2017,330719
7/28/2017,328105
7/29/2017,325490
7/30/2017,322876
7/31/2017,320261
8/1/2017,317647
8/2/2017,315033
8/3/2017,312418
8/4/2017,309804
8/5/2017,307190
8/6/2017,304575
8/7/2017,301961
8/8/2017,299346
8/9/2017,296732
8/10/2017,294118
8/11/2017,291503
8/12/2017,288889
8/13/2017,286275
8/14/2017,283660
8/15/2017,281046
8/16/2017,278431
8/17/2017,275817
8/18/2017,273203
8/19/2017,270588
8/20/2017,267974
8/21/2017,265359
8/22/2017,262745
8/23/2017,260131
8/24/2017,257516
8/25/2017,254902
8/26/2017,252288
8/27/2017,249673
8/28/2017,247059
8/29/2017,244444
8/30/2017,241830
8/31/2017,239216
9/1/2017,236601
9/2/2017,233987
9/3/2017,231373
9/4/2017,228758
9/5/2017,226144
9/6/2017,223529
9/7/2017,220915
9/8/2017,218301
9/9/2017,215686
9/10/2017,213072
9/11/2017,210458
9/12/2017,207843
9/13/2017,205229
9/14/2017,202614
9/15/2017,200000
9/16/2017,201983
9/17/2017,203967
9/18/2017,205950
9/19/2017,207934
9/20/2017,209917
9/21/2017,211901
9/22/2017,213884
9/23/2017,215868
9/24/2017,217851
9/25/2017,219835
9/26/2017,221818
9/27/2017,223802
9/28/2017,225785
9/29/2017,227769
9/30/2017,229752
10/1/2017,231736
10/2/2017,233719
10/3/2017,235703
10/4/2017,237686
10/5/2017,239670
10/6/2017,241653
10/7/2017,243637
10/8/2017,245620
10/9/2017,247604
10/10/2017,249587
10/11/2017,251571
10/12/2017,253554
10/13/2017,255538
10/14/2017,257521
10/15/2017,259505
10/16/2017,261488
10/17/2017,263472
10/18/2017,265455
10/19/2017,267439
10/20/2017,269422
10/21/2017,271406
10/22/2017,273389
10/23/2017,275373
10/24/2017,277356
10/25/2017,279340
10/26/2017,281323
10/27/2017,283307
10/28/2017,285290
10/29/2017,287274
10/30/2017,289257
10/31/2017,291241
11/1/2017,293224
11/2/2017,295208
11/3/2017,297191
11/4/2017,299175
11/5/2017,301158
11/6/2017,303142
11/7/2017,305125
11/8/2017,307109
11/9/2017,309092
11/10/2017,311076
11/11/2017,313059
11/12/2017,315043
11/13/2017,317026
11/14/2017,319010
11/15/2017,320993
11/16/2017,322977
11/17/2017,324960
11/18/2017,326944
11/19/2017,328927
11/20/2017,330911
11/21/2017,332894
11/22/2017,334878
11/23/2017,336861
11/24/2017,338845
11/25/2017,340828
11/26/2017,342812
11/27/2017,344795
11/28/2017,346778
11/29/2017,348762
11/30/2017,350745
12/1/2017,352729
12/2/2017,354712
12/3/2017,356696
12/4/2017,358679
12/5/2017,360663
12/6/2017,362646
12/7/2017,364630
12/8/2017,366613
12/9/2017,368597
12/10/2017,370580
12/11/2017,372564
12/12/2017,374547
12/13/2017,376531
12/14/2017,378514
12/15/2017,380498
12/16/2017,382481
12/17/2017,384465
12/18/2017,386448
12/19/2017,388432
12/20/2017,390415
12/21/2017,392399
12/22/2017,394382
12/23/2017,396366
12/24/2017,398349
12/25/2017,400333
12/26/2017,402316
12/27/2017,404300
12/28/2017,406283
12/29/2017,408267
12/30/2017,410250
12/31/2017,412234
1/1/2018,414217
1/2/2018,416201
1/3/2018,418184
1/4/2018,420168
1/5/2018,422151
1/6/2018,424135
1/7/2018,426118
1/8/2018,428102
1/9/2018,430085
1/10/2018,432069
1/11/2018,434052
1/12/2018,436036
1/13/2018,438019
1/14/2018,440003
1/15/2018,441986
1/16/2018,443970
1/17/2018,445953
1/18/2018,447937
1/19/2018,449920
1/20/2018,451904
1/21/2018,453887
1/22/2018,455871
1/23/2018,457854
1/24/2018,459838
1/25/2018,461821
1/26/2018,463805
1/27/2018,465788
1/28/2018,467772
1/29/2018,469755
1/30/2018,471739
1/31/2018,473722
2/1/2018,475706
2/2/2018,477689
2/3/2018,479673
2/4/2018,481656
2/5/2018,483640
2/6/2018,485623
2/7/2018,487607
2/8/2018,489590
2/9/2018,491574
2/10/2018,493557
2/11/2018,495540
2/12/2018,497524
2/13/2018,499507
2/14/2018,501491
2/15/2018,503474
2/16/2018,505458
2/17/2018,507441
2/18/2018,509425
2/19/2018,511408
2/20/2018,513392
2/21/2018,515375
2/22/2018,517359
2/23/2018,519342
2/24/2018,521326
2/25/2018,523309
2/26/2018,525293
2/27/2018,527276
2/28/2018,529260
3/1/2018,531243
3/2/2018,533227
3/3/2018,535210
3/4/2018,537194
3/5/2018,539177
3/6/2018,541161
3/7/2018,543144
3/8/2018,545128
3/9/2018,547111
3/10/2018,549095
3/11/2018,551078
3/12/2018,553062
3/13/2018,555045
3/14/2018,557029
3/15/2018,559012
3/16/2018,560996
3/17/2018,562979
3/18/2018,564963
3/19/2018,566946
3/20/2018,568930
3/21/2018,570913
3/22/2018,572897
3/23/2018,574880
3/24/2018,576864
3/25/2018,578847
3/26/2018,580831
3/27/2018,582814
3/28/2018,584798
3/29/2018,586781
3/30/2018,588765
3/31/2018,590748
4/1/2018,592732
4/2/2018,594715
4/3/2018,596699
4/4/2018,598682
4/5/2018,600666
4/6/2018,602649
4/7/2018,604633
4/8/2018,606616
4/9/2018,608600
4/10/2018,610583
4/11/2018,612567
4/12/2018,614550
4/13/2018,616534
4/14/2018,618517
4/15/2018,620501
4/16/2018,622484
4/17/2018,624468
4/18/2018,626451
4/19/2018,628435
4/20/2018,630418
4/21/2018,632402
4/22/2018,634385
4/23/2018,636369
4/24/2018,638352
