date,count
1/1/2017,150000
1/2/2017,150197
1/3/2017,150394
1/4/2017,150591
1/5/2017,150787
1/6/2017,150984
1/7/2017,151181
1/8/2017,151378
1/9/2017,151575
1/10/2017,151772
1/11/2017,151969
1/12/2017,152165
1/13/2017,152362
1/14/2017,152559
1/15/2017,152756
1/16/2017,152953
1/17/2017,153150
1/18/2017,153346
1/19/2017,153543
1/20/2017,153740
1/21/2017,153937
1/22/2017,154134
1/23/2017,154331
1/24/2017,154528
1/25/2017,154724
1/26/2017,154921
1/27/2017,155118
1/28/2017,155315
1/29/2017,155512
1/30/2017,155709
1/31/2017,155906
2/1/2017,156102
2/2/2017,156299
2/3/2017,156496
2/4/2017,156693
2/5/2017,156890
2/6/2017,157087
2/7/2017,157283
2/8/2017,157480
2/9/2017,157677
2/10/2017,157874
2/11/2017,158071
2/12/2017,158268
2/13/2017,158465
2/14/2017,158661
2/15/2017,158858
2/16/2017,159055
2/17/2017,159252
2/18/2017,159449
2/19/2017,159646
2/20/2017,159843
2/21/2017,160039
2/22/2017,160236
2/23/2017,160433
2/24/2017,160630
2/25/2017,160827
2/26/2017,161024
2/27/2017,161220
2/28/2017,161417
3/1/2017,161614
3/2/2017,161811
3/3/2017,162008
3/4/2017,162205
3/5/2017,162402
3/6/2017,162598
3/7/2017,162795
3/8/2017,162992
3/9/2017,163189
3/10/2017,163386
3/11/2017,163583
3/12/2017,163780
3/13/2017,163976
3/14/2017,164173
3/15/2017,164370
3/16/2017,164567
3/17/2017,164764
3/18/2017,164961
3/19/2017,165157
3/20/2017,165354
3/21/2017,165551
3/22/2017,165748
3/23/2017,165945
3/24/2017,166142
3/25/2017,166339
3/26/2017,166535
3/27/2017,166732
3/28/2017,166929
3/29/2017,167126
3/30/2017,167323
3/31/2017,167520
4/1/2017,167717
4/2/2017,167913
4/3/2017,168110
4/4/2017,168307
4/5/2017,168504
4/6/2017,168701
4/7/2017,168898
4/8/2017,169094
4/9/2017,169291
4/10/2017,169488
4/11/2017,169685
4/12/2017,169882
4/13/2017,170079
4/14/2017,170276
4/15/2017,170472
4/16/2017,170669
4/17/2017,170866
4/18/2017,171063
4/19/2017,171260
4/20/2017,171457
4/21/2017,171654
4/22/2017,171850
4/23/2017,172047
4/24/2017,172244
4/25/2017,172441
4/26/2017,172638
4/27/2017,172835
4/28/2017,173031
4/29/2017,173228
4/30/2017,173425
5/1/2017,173622
5/2/2017,173819
5/3/2017,174016
5/4/2017,174213
5/5/2017,174409
5/6/2017,174606
5/7/2017,174803
5/8/2017,175000
5/9/2017,175197
5/10/2017,175394
5/11/2017,175591
5/12/2017,175787
5/13/2017,175984
5/14/2017,176181
5/15/2017,176378
5/16/2017,176575
5/17/2017,176772
5/18/2017,176969
5/19/2017,177165
5/20/2017,177362
5/21/2017,177559
5/22/2017,177756
5/23/2017,177953
5/24/2017,178150
5/25/2017,178346
5/26/2017,178543
5/27/2017,178740
5/28/2017,178937
5/29/2017,179134
5/30/2017,179331
5/31/2017,179528
6/1/2017,179724
6/2/2017,179921
6/3/2017,180118
6/4/2017,180315
6/5/2017,180512
6/6/2017,180709
6/7/2017,180906
6/8/2017,181102
6/9/2017,181299
6/10/2017,181496
6/11/2017,181693
6/12/2017,181890
6/13/2017,182087
6/14/2017,182283
6/15/2017,182480
6/16/2017,182677
6/17/2017,182874
6/18/2017,183071
6/19/2017,183268
6/20/2017,183465
6/21/2017,183661
6/22/2017,183858
6/23/2017,184055
6/24/2017,184252
6/25/2017,184449
6/26/2017,184646
6/27/2017,184843
6/28/2017,185039
6/29/2017,185236
6/30/2017,185433
7/1/2017,185630
7/2/2017,185827
7/3/2017,186024
7/4/2017,186220
7/5/2017,186417
7/6/2017,186614
7/7/2017,186811
7/8/2017,187008
7/9/2017,187205
7/10/2017,187402
7/11/2017,187598
7/12/2017,187795
7/13/2017,187992
7/14/2017,188189
7/15/2017,188386
7/16/2017,188583
7/17/2017,188780
7/18/2017,188976
7/19/2017,189173
7/20/2017,189370
7/21/2017,189567
7/22/2017,189764
7/23/2017,189961
7/24/2017,190157
7/25/2017,190354
7/26/2017,190551
7/27/2017,190748
7/28/2017,190945
7/29/2017,191142
7/30/2017,191339
7/31/2017,191535
8/1/2017,191732
8/2/2017,191929
8/3/2017,192126
8/4/2017,192323
8/5/2017,192520
8/6/2017,192717
8/7/2017,192913
8/8/2017,193110
8/9/2017,193307
8/10/2017,193504
8/11/2017,193701
8/12/2017,193898
8/13/2017,194094
8/14/2017,194291
8/15/2017,194488
8/16/2017,194685
8/17/2017,194882
8/18/2017,195079
8/19/2017,195276
8/20/2017,195472
8/21/2017,195669
8/22/2017,195866
8/23/2017,196063
8/24/2017,196260
8/25/2017,196457
8/26/2017,196654
8/27/2017,196850
8/28/2017,197047
8/29/2017,197244
8/30/2017,197441
8/31/2017,197638
9/1/2017,197835
9/2/2017,198031
9/3/2017,198228
9/4/2017,198425
9/5/2017,198622
9/6/2017,198819
9/7/2017,199016
9/8/2017,199213
9/9/2017,199409
9/10/2017,199606
9/11/2017,199803
9/12/2017,200000
9/13/2017,204000
9/14/2017,208000
9/15/2017,212000
9/16/2017,216000
9/17/2017,220000
9/18/2017,224000
9/19/2017,228000
9/20/2017,232000
9/21/2017,236000
9/22/2017,240000
9/23/2017,244000
9/24/2017,248000
9/25/2017,252000
9/26/2017,256000
9/27/2017,260000
9/28/2017,264000
9/29/2017,268000
9/30/2017,272000
10/1/2017,276000
10/2/2017,280000
10/3/2017,284000
10/4/2017,288000
10/5/2017,292000
10/6/2017,296000
10/7/2017,300000
10/8/2017,304000
10/9/2017,308000
10/10/2017,312000
10/11/2017,316000
10/12/2017,320000
10/13/2017,324000
10/14/2017,328000
10/15/2017,332000
10/16/2017,336000
10/17/2017,340000
10/18/2017,344000
10/19/2017,348000
10/20/2017,352000
10/21/2017,356000
10/22/2017,360000
10/23/2017,364000
10/24/2017,368000
10/25/2017,372000
10/26/2017,376000
10/27/2017,380000
10/28/2017,384000
10/29/2017,388000
10/30/2017,392000
10/31/2017,396000
11/1/2017,400000
11/2/2017,400773
11/3/2017,401546
11/4/2017,402319
11/5/2017,403092
11/6/2017,403865
11/7/2017,404638
11/8/2017,405411
11/9/2017,406184
11/10/2017,406957
11/11/2017,407730
11/12/2017,408503
11/13/2017,409276
11/14/2017,410049
11/15/2017,410822
11/16/2017,411595
11/17/2017,412368
11/18/2017,413141
11/19/2017,413914
11/20/2017,414687
11/21/2017,415460
11/22/2017,416233
11/23/2017,417006
11/24/2017,417779
11/25/2017,418552
11/26/2017,419325
11/27/2017,420098
11/28/2017,420871
11/29/2017,421644
11/30/2017,422417
12/1/2017,423190
12/2/2017,423963
12/3/2017,424736
12/4/2017,425509
12/5/2017,426282
12/6/2017,427055
12/7/2017,427828
12/8/2017,428601
12/9/2017,429374
12/10/2017,430147
12/11/2017,430920
12/12/2017,431693
12/13/2017,432466
12/14/2017,433239
12/15/2017,434011
12/16/2017,434784
12/17/2017,435557
12/18/2017,436330
12/19/2017,437103
12/20/2017,437876
12/21/2017,438649
12/22/2017,439422
12/23/2017,440195
12/24/2017,440968
