date,count
1/1/2017,643605
1/2/2017,644105
1/3/2017,644605
1/4/2017,645105
1/5/2017,645605
1/6/2017,646105
1/7/2017,646606
1/8/2017,647106
1/9/2017,647606
1/10/2017,648106
1/11/2017,648606
1/12/2017,649106
1/13/2017,649606
1/14/2017,650106
1/15/2017,650606
1/16/2017,651106
1/17/2017,651607
1/18/2017,652107
1/19/2017,652607
1/20/2017,653107
1/21/2017,653607
1/22/2017,654107
1/23/2017,654607
1/24/2017,655107
1/25/2017,655607
1/26/2017,656107
1/27/2017,656607
1/28/2017,657108
1/29/2017,657608
1/30/2017,658108
1/31/2017,658608
2/1/2017,659108
2/2/2017,659608
2/3/2017,660108
2/4/2017,660608
2/5/2017,661108
2/6/2017,661608
2/7/2017,662109
2/8/2017,662609
2/9/2017,663109
2/10/2017,663609
2/11/2017,664109
2/12/2017,664609
2/13/2017,665109
2/14/2017,665609
2/15/2017,666109
2/16/2017,666609
2/17/2017,667109
2/18/2017,667610
2/19/2017,668110
2/20/2017,668610
2/21/2017,669110
2/22/2017,669610
2/23/2017,670110
2/24/2017,670610
2/25/2017,671110
2/26/2017,671610
2/27/2017,672110
2/28/2017,672611
3/1/2017,673111
3/2/2017,673611
3/3/2017,674111
3/4/2017,674611
3/5/2017,675111
3/6/2017,675611
3/7/2017,676111
3/8/2017,676611
3/9/2017,677111
3/10/2017,677611
3/11/2017,678112
3/12/2017,678612
3/13/2017,679112
3/14/2017,679612
3/15/2017,680112
3/16/2017,680612
3/17/2017,681112
3/18/2017,681612
3/19/2017,682112
3/20/2017,682612
3/21/2017,683113
3/22/2017,683613
3/23/2017,684113
3/24/2017,684613
3/25/2017,685113
3/26/2017,685613
3/27/2017,678115
3/28/2017,670617
3/29/2017,663119
3/30/2017,655622
3/31/2017,648124
4/1/2017,640626
4/2/2017,633128
4/3/2017,625630
4/4/2017,618132
4/5/2017,610634
4/6/2017,603137
4/7/2017,595639
4/8/2017,588141
4/9/2017,580643
4/10/2017,573145
4/11/2017,565647
4/12/2017,558149
4/13/2017,550652
4/14/2017,543154
4/15/2017,535656
4/16/2017,528158
4/17/2017,520660
4/18/2017,513162
4/19/2017,505664
4/20/2017,498167
4/21/2017,490669
4/22/2017,483171
4/23/2017,475673
4/24/2017,475090
4/25/2017,474507
4/26/2017,473924
4/27/2017,473341
4/28/2017,472759
4/29/2017,472176
4/30/2017,471593
5/1/2017,471010
5/2/2017,470427
5/3/2017,469844
5/4/2017,469261
5/5/2017,468678
5/6/2017,468096
5/7/2017,467513
5/8/2017,466930
5/9/2017,466347
5/10/2017,465764
5/11/2017,465181
5/12/2017,464598
5/13/2017,464015
5/14/2017,463433
5/15/2017,462850
5/16/2017,462267
5/17/2017,461684
5/18/2017,461101
5/19/2017,460518
5/20/2017,459935
5/21/2017,459352
5/22/2017,458769
5/23/2017,458187
5/24/2017,457604
5/25/2017,457021
5/26/2017,456438
5/27/2017,455855
5/28/2017,455272
5/29/2017,454689
5/30/2017,454106
5/31/2017,453524
6/1/2017,452941
6/2/2017,452358
6/3/2017,451775
6/4/2017,451192
6/5/2017,450609
6/6/2017,450026
6/7/2017,449443
6/8/2017,448861
6/9/2017,448278
6/10/2017,447695
6/11/2017,447112
6/12/2017,446529
6/13/2017,445946
6/14/2017,445363
6/15/2017,444780
6/16/2017,444197
6/17/2017,443615
6/18/2017,443032
6/19/2017,442449
6/20/2017,441866
6/21/2017,441283
6/22/2017,440700
6/23/2017,440117
6/24/2017,439534
6/25/2017,438952
6/26/2017,438369
6/27/2017,437786
6/28/2017,437203
6/29/2017,436620
6/30/2017,436037
7/1/2017,435454
7/2/2017,434871
7/3/2017,434289
7/4/2017,433706
7/5/2017,433123
7/6/2017,432540
7/7/2017,431957
7/8/2017,431374
7/9/2017,430791
7/10/2017,430208
7/11/2017,429625
7/12/2017,429043
7/13/2017,428460
