date,count
1/1/2017,185121
1/2/2017,185852
1/3/2017,186584
1/4/2017,187315
1/5/2017,188046
1/6/2017,188778
1/7/2017,189509
1/8/2017,190240
1/9/2017,190972
1/10/2017,191703
1/11/2017,192434
1/12/2017,193165
1/13/2017,193897
1/14/2017,194628
1/15/2017,195359
1/16/2017,196091
1/17/2017,196822
1/18/2017,197553
1/19/2017,198285
1/20/2017,199016
1/21/2017,199747
1/22/2017,200479
1/23/2017,201210
1/24/2017,201941
1/25/2017,202673
1/26/2017,203404
1/27/2017,204135
1/28/2017,204867
1/29/2017,205598
1/30/2017,206329
1/31/2017,207060
2/1/2017,207792
2/2/2017,208523
2/3/2017,209254
2/4/2017,209986
2/5/2017,210717
2/6/2017,211448
2/7/2017,212180
2/8/2017,212911
2/9/2017,213642
2/10/2017,214374
2/11/2017,215105
2/12/2017,215836
2/13/2017,216568
2/14/2017,217299
2/15/2017,218030
2/16/2017,218762
2/17/2017,219493
2/18/2017,220224
2/19/2017,220955
2/20/2017,221687
2/21/2017,222418
2/22/2017,223149
2/23/2017,223881
2/24/2017,224612
2/25/2017,225343
2/26/2017,226075
2/27/2017,226806
2/28/2017,227537
3/1/2017,228269
3/2/2017,229000
3/3/2017,229731
3/4/2017,230463
3/5/2017,231194
3/6/2017,231925
3/7/2017,232656
3/8/2017,233388
3/9/2017,234119
3/10/2017,234850
3/11/2017,235582
3/12/2017,236313
3/13/2017,237044
3/14/2017,237776
3/15/2017,238507
3/16/2017,239238
3/17/2017,239970
3/18/2017,240701
3/19/2017,241432
3/20/2017,242164
3/21/2017,242895
3/22/2017,243626
3/23/2017,244358
3/24/2017,245089
3/25/2017,245820
3/26/2017,246551
3/27/2017,247283
3/28/2017,248014
3/29/2017,248745
3/30/2017,249477
3/31/2017,250208
4/1/2017,250939
4/2/2017,251671
4/3/2017,252402
4/4/2017,253133
4/5/2017,253865
4/6/2017,254596
4/7/2017,255327
4/8/2017,256059
4/9/2017,256790
4/10/2017,257521
4/11/2017,258253
4/12/2017,258984
4/13/2017,259715
4/14/2017,260446
4/15/2017,261178
4/16/2017,261909
4/17/2017,262640
4/18/2017,263372
4/19/2017,264103
4/20/2017,264834
4/21/2017,265566
4/22/2017,266297
4/23/2017,267028
4/24/2017,267760
4/25/2017,268491
4/26/2017,269222
4/27/2017,269954
4/28/2017,270685
4/29/2017,271416
4/30/2017,272148
5/1/2017,272879
5/2/2017,273610
5/3/2017,274341
5/4/2017,275073
5/5/2017,275804
5/6/2017,276535
5/7/2017,277267
5/8/2017,277998
5/9/2017,278729
5/10/2017,279461
5/11/2017,280192
5/12/2017,280923
5/13/2017,281655
5/14/2017,282386
5/15/2017,283117
5/16/2017,283849
5/17/2017,284580
5/18/2017,285311
5/19/2017,286043
5/20/2017,286774
5/21/2017,287505
5/22/2017,288236
5/23/2017,288968
5/24/2017,289699
5/25/2017,290430
5/26/2017,291162
5/27/2017,291893
5/28/2017,292624
5/29/2017,293356
5/30/2017,294087
5/31/2017,294818
6/1/2017,295550
6/2/2017,296281
6/3/2017,297012
6/4/2017,297744
6/5/2017,298475
6/6/2017,299206
6/7/2017,299938
6/8/2017,300669
6/9/2017,301400
6/10/2017,302131
6/11/2017,302863
6/12/2017,303594
6/13/2017,304325
6/14/2017,305057
6/15/2017,305788
6/16/2017,306519
6/17/2017,307251
6/18/2017,307982
6/19/2017,308713
6/20/2017,309445
6/21/2017,310176
6/22/2017,310907
6/23/2017,311639
6/24/2017,312370
6/25/2017,313101
6/26/2017,313833
6/27/2017,314564
6/28/2017,315295
6/29/2017,316026
6/30/2017,316758
7/1/2017,317489
7/2/2017,318220
7/3/2017,318952
7/4/2017,319683
7/5/2017,320414
7/6/2017,321146
7/7/2017,321877
7/8/2017,322608
7/9/2017,323340
7/10/2017,324071
7/11/2017,324802
7/12/2017,325534
7/13/2017,326265
7/14/2017,326996
7/15/2017,327727
7/16/2017,328459
7/17/2017,329190
7/18/2017,329921
7/19/2017,330653
7/20/2017,331384
7/21/2017,332115
7/22/2017,332847
7/23/2017,333578
7/24/2017,334309
7/25/2017,335041
7/26/2017,335772
7/27/2017,336503
7/28/2017,337235
7/29/2017,337966
7/30/2017,338697
7/31/2017,339429
8/1/2017,340160
8/2/2017,340891
8/3/2017,341622
8/4/2017,342354
8/5/2017,343085
8/6/2017,343816
8/7/2017,344548
8/8/2017,345279
8/9/2017,346010
8/10/2017,346742
8/11/2017,347473
8/12/2017,348204
8/13/2017,348936
8/14/2017,349667
8/15/2017,350398
8/16/2017,351130
8/17/2017,351861
8/18/2017,352592
8/19/2017,353324
8/20/2017,354055
8/21/2017,354786
8/22/2017,355517
8/23/2017,356249
8/24/2017,356980
8/25/2017,357711
8/26/2017,358443
8/27/2017,359174
8/28/2017,359905
8/29/2017,360637
8/30/2017,361368
8/31/2017,361687
9/1/2017,362005
9/2/2017,362324
9/3/2017,362642
9/4/2017,362961
9/5/2017,363279
9/6/2017,363598
9/7/2017,363917
9/8/2017,364235
9/9/2017,364554
9/10/2017,364872
9/11/2017,365191
9/12/2017,365510
9/13/2017,365828
9/14/2017,366147
9/15/2017,366465
9/16/2017,366784
9/17/2017,367102
9/18/2017,367421
9/19/2017,367740
9/20/2017,368058
9/21/2017,368377
9/22/2017,368695
9/23/2017,369014
9/24/2017,369332
9/25/2017,369651
9/26/2017,369970
9/27/2017,370288
9/28/2017,370607
9/29/2017,370925
9/30/2017,371244
10/1/2017,371562
10/2/2017,371881
10/3/2017,372200
10/4/2017,372518
10/5/2017,372837
10/6/2017,373155
10/7/2017,373474
10/8/2017,373793
10/9/2017,374111
10/10/2017,374430
10/11/2017,374748
10/12/2017,375067
10/13/2017,375385
10/14/2017,375704
10/15/2017,376023
10/16/2017,376341
10/17/2017,376660
10/18/2017,376978
10/19/2017,377297
10/20/2017,377615
10/21/2017,377934
10/22/2017,378253
10/23/2017,378571
10/24/2017,378890
10/25/2017,379208
10/26/2017,379527
10/27/2017,379846
10/28/2017,380164
10/29/2017,380483
10/30/2017,380801
10/31/2017,381120
11/1/2017,381438
11/2/2017,381757
11/3/2017,382076
11/4/2017,382394
11/5/2017,382713
11/6/2017,383031
11/7/2017,383350
11/8/2017,383668
11/9/2017,383987
11/10/2017,384306
11/11/2017,384624
11/12/2017,384943
11/13/2017,385261
11/14/2017,385580
11/15/2017,385899
11/16/2017,386217
11/17/2017,386536
11/18/2017,386854
11/19/2017,387173
11/20/2017,387491
11/21/2017,387810
11/22/2017,388129
11/23/2017,388447
11/24/2017,388766
11/25/2017,389084
11/26/2017,389403
11/27/2017,389721
11/28/2017,390040
11/29/2017,390359
11/30/2017,390677
12/1/2017,390996
12/2/2017,391314
12/3/2017,391633
12/4/2017,391951
12/5/2017,392270
12/6/2017,392589
12/7/2017,392907
12/8/2017,393226
12/9/2017,393544
12/10/2017,393863
12/11/2017,394182
12/12/2017,394500
12/13/2017,394819
12/14/2017,395137
12/15/2017,395456
12/16/2017,395774
12/17/2017,396093
12/18/2017,396412
12/19/2017,396730
12/20/2017,397049
12/21/2017,397367
12/22/2017,397686
12/23/2017,398004
12/24/2017,398323
12/25/2017,398642
12/26/2017,398960
12/27/2017,399279
12/28/2017,399597
12/29/2017,399916
12/30/2017,400235
12/31/2017,400553
1/1/2018,400872
1/2/2018,401190
1/3/2018,401509
1/4/2018,401827
1/5/2018,402146
1/6/2018,402465
1/7/2018,402783
1/8/2018,403102
1/9/2018,403420
1/10/2018,403739
1/11/2018,404057
1/12/2018,404376
1/13/2018,404695
1/14/2018,405013
1/15/2018,405332
1/16/2018,405650
1/17/2018,405969
1/18/2018,406288
1/19/2018,406606
1/20/2018,406925
1/21/2018,407243
1/22/2018,407562
1/23/2018,407880
1/24/2018,408199
1/25/2018,408518
1/26/2018,408836
1/27/2018,409155
1/28/2018,409473
1/29/2018,409792
1/30/2018,410110
1/31/2018,410429
2/1/2018,410748
2/2/2018,411066
2/3/2018,411385
2/4/2018,411703
2/5/2018,412022
2/6/2018,412340
2/7/2018,412659
2/8/2018,412978
2/9/2018,413296
2/10/2018,413615
2/11/2018,413933
2/12/2018,414252
2/13/2018,414571
2/14/2018,414889
2/15/2018,415208
2/16/2018,415526
2/17/2018,415845
2/18/2018,416163
2/19/2018,416482
2/20/2018,416801
2/21/2018,417119
2/22/2018,417438
2/23/2018,417756
2/24/2018,418075
2/25/2018,418393
2/26/2018,418712
2/27/2018,419031
2/28/2018,419349
3/1/2018,419668
3/2/2018,419986
3/3/2018,420305
3/4/2018,420624
3/5/2018,420942
3/6/2018,421261
3/7/2018,421579
3/8/2018,421898
3/9/2018,422216
3/10/2018,422535
3/11/2018,422854
3/12/2018,423172
3/13/2018,423491
3/14/2018,423809
3/15/2018,424128
3/16/2018,424446
3/17/2018,424765
3/18/2018,425084
3/19/2018,425402
3/20/2018,425721
3/21/2018,426039
3/22/2018,426358
3/23/2018,426677
3/24/2018,426995
3/25/2018,427314
3/26/2018,427632
3/27/2018,427951
3/28/2018,428269
3/29/2018,428588
3/30/2018,428907
3/31/2018,429225
4/1/2018,429544
4/2/2018,429862
4/3/2018,430181
4/4/2018,430499
4/5/2018,430818
4/6/2018,431137
4/7/2018,431455
4/8/2018,431774
4/9/2018,432092
4/10/2018,432411
4/11/2018,432729
4/12/2018,433048
4/13/2018,433367
4/14/2018,433685
4/15/2018,434004
4/16/2018,434322
4/17/2018,434641
4/18/2018,434960
4/19/2018,435278
4/20/2018,435597
4/21/2018,435915
4/22/2018,436234
4/23/2018,436552
4/24/2018,436871
