date,count
1/1/2017,861911
1/2/2017,862968
1/3/2017,864026
1/4/2017,865083
1/5/2017,866140
1/6/2017,867198
1/7/2017,868255
1/8/2017,869312
1/9/2017,870370
1/10/2017,871427
1/11/2017,872484
1/12/2017,873541
1/13/2017,874599
1/14/2017,875656
1/15/2017,876713
1/16/2017,877771
1/17/2017,878828
1/18/2017,879885
1/19/2017,880943
1/20/2017,882000
1/21/2017,881924
1/22/2017,881847
1/23/2017,881771
1/24/2017,881695
1/25/2017,881619
1/26/2017,881542
1/27/2017,881466
1/28/2017,881390
1/29/2017,881314
1/30/2017,881237
1/31/2017,881161
2/1/2017,876301
2/2/2017,871441
2/3/2017,866581
2/4/2017,861720
2/5/2017,856860
2/6/2017,852000
2/7/2017,853643
2/8/2017,855286
2/9/2017,856929
2/10/2017,858571
2/11/2017,860214
2/12/2017,861857
2/13/2017,863500
2/14/2017,865143
2/15/2017,866786
2/16/2017,868429
2/17/2017,870071
2/18/2017,871714
2/19/2017,873357
2/20/2017,875000
2/21/2017,871750
2/22/2017,868500
2/23/2017,865250
2/24/2017,862000
2/25/2017,858750
2/26/2017,855500
2/27/2017,852250
2/28/2017,849000
3/1/2017,849093
3/2/2017,849187
3/3/2017,849280
3/4/2017,849373
3/5/2017,849467
3/6/2017,849560
3/7/2017,834081
3/8/2017,818602
3/9/2017,819071
3/10/2017,819539
3/11/2017,820008
3/12/2017,820476
3/13/2017,820945
3/14/2017,821413
3/15/2017,821882
3/16/2017,822350
3/17/2017,822819
3/18/2017,823287
3/19/2017,823756
3/20/2017,824224
3/21/2017,824693
3/22/2017,825161
3/23/2017,825630
3/24/2017,826098
3/25/2017,826567
3/26/2017,827035
3/27/2017,827504
3/28/2017,827972
3/29/2017,828441
3/30/2017,828909
3/31/2017,829378
4/1/2017,829846
4/2/2017,830315
4/3/2017,830783
4/4/2017,831252
4/5/2017,831720
4/6/2017,832189
4/7/2017,832657
4/8/2017,833126
4/9/2017,833594
4/10/2017,834063
4/11/2017,834531
4/12/2017,835000
4/13/2017,831111
4/14/2017,827222
4/15/2017,823333
4/16/2017,819444
4/17/2017,815556
4/18/2017,811667
4/19/2017,807778
4/20/2017,803889
4/21/2017,800000
4/22/2017,803556
4/23/2017,807111
4/24/2017,810667
4/25/2017,814222
4/26/2017,817778
4/27/2017,821333
4/28/2017,824889
4/29/2017,828444
4/30/2017,832000
5/1/2017,835407
5/2/2017,838815
5/3/2017,842222
5/4/2017,845630
5/5/2017,849037
5/6/2017,852444
5/7/2017,855852
5/8/2017,859259
5/9/2017,862667
5/10/2017,866074
5/11/2017,869481
5/12/2017,872889
5/13/2017,876296
5/14/2017,879704
5/15/2017,883111
5/16/2017,886519
5/17/2017,889926
5/18/2017,893333
5/19/2017,896741
5/20/2017,900148
5/21/2017,903556
5/22/2017,906963
5/23/2017,910370
5/24/2017,913778
5/25/2017,917185
5/26/2017,920593
5/27/2017,924000
5/28/2017,925688
5/29/2017,927375
5/30/2017,929063
5/31/2017,930750
6/1/2017,932438
6/2/2017,934125
6/3/2017,935813
6/4/2017,937500
6/5/2017,939188
6/6/2017,940875
6/7/2017,942563
6/8/2017,944250
6/9/2017,945938
6/10/2017,947625
6/11/2017,949313
6/12/2017,951000
6/13/2017,952688
6/14/2017,954375
6/15/2017,956063
6/16/2017,957750
6/17/2017,959438
6/18/2017,961125
6/19/2017,962813
6/20/2017,964500
6/21/2017,966188
6/22/2017,967875
6/23/2017,969563
6/24/2017,971250
6/25/2017,972938
6/26/2017,974625
6/27/2017,976313
6/28/2017,978000
6/29/2017,1040000
6/30/2017,1040526.718
7/1/2017,1041053.435
7/2/2017,1041580.153
7/3/2017,1042106.87
7/4/2017,1042633.588
7/5/2017,1043160.305
7/6/2017,1043687.023
7/7/2017,1044213.74
7/8/2017,1044740.458
7/9/2017,1045267.176
7/10/2017,1045793.893
7/11/2017,1046320.611
7/12/2017,1046847.328
7/13/2017,1047374.046
7/14/2017,1047900.763
7/15/2017,1048427.481
7/16/2017,1048954.198
7/17/2017,1049480.916
7/18/2017,1050007.634
7/19/2017,1050534.351
7/20/2017,1051061.069
7/21/2017,1051587.786
7/22/2017,1052114.504
