date,count
1/1/2017,170349
1/2/2017,171131
1/3/2017,171912
1/4/2017,172694
1/5/2017,173475
1/6/2017,174257
1/7/2017,175039
1/8/2017,175820
1/9/2017,176602
1/10/2017,177383
1/11/2017,178165
1/12/2017,178947
1/13/2017,179728
1/14/2017,180510
1/15/2017,181291
1/16/2017,182073
1/17/2017,182854
1/18/2017,183636
1/19/2017,184418
1/20/2017,185199
1/21/2017,185981
1/22/2017,186762
1/23/2017,187544
1/24/2017,188326
1/25/2017,189107
1/26/2017,189889
1/27/2017,190670
1/28/2017,191452
1/29/2017,192234
1/30/2017,193015
1/31/2017,193797
2/1/2017,194578
2/2/2017,195360
2/3/2017,196142
2/4/2017,196923
2/5/2017,197705
2/6/2017,198486
2/7/2017,199268
2/8/2017,200050
2/9/2017,200831
2/10/2017,201613
2/11/2017,202394
2/12/2017,203176
2/13/2017,203958
2/14/2017,204739
2/15/2017,205521
2/16/2017,206302
2/17/2017,207084
2/18/2017,207865
2/19/2017,208647
2/20/2017,209429
2/21/2017,210210
2/22/2017,210992
2/23/2017,211773
2/24/2017,212555
2/25/2017,213337
2/26/2017,214118
2/27/2017,214900
2/28/2017,215681
3/1/2017,216463
3/2/2017,217245
3/3/2017,218026
3/4/2017,218808
3/5/2017,219589
3/6/2017,220371
3/7/2017,221153
3/8/2017,221934
3/9/2017,222716
3/10/2017,223497
3/11/2017,224279
3/12/2017,225061
3/13/2017,225842
3/14/2017,226624
3/15/2017,227405
3/16/2017,228187
3/17/2017,228968
3/18/2017,229750
3/19/2017,230532
3/20/2017,231313
3/21/2017,232095
3/22/2017,232876
3/23/2017,233658
3/24/2017,234440
3/25/2017,235221
3/26/2017,236003
3/27/2017,236784
3/28/2017,237566
3/29/2017,238348
3/30/2017,239129
3/31/2017,239911
4/1/2017,240692
4/2/2017,241474
4/3/2017,242256
4/4/2017,243037
4/5/2017,243819
4/6/2017,244600
4/7/2017,245382
4/8/2017,246164
4/9/2017,246945
4/10/2017,247727
4/11/2017,248508
4/12/2017,249290
4/13/2017,250071
4/14/2017,250853
4/15/2017,251635
4/16/2017,252416
4/17/2017,253198
4/18/2017,253979
4/19/2017,254761
4/20/2017,255543
4/21/2017,256324
4/22/2017,257106
4/23/2017,257887
4/24/2017,258669
4/25/2017,259451
4/26/2017,260232
4/27/2017,261014
4/28/2017,261795
4/29/2017,262577
4/30/2017,263359
5/1/2017,264140
5/2/2017,264922
5/3/2017,265703
5/4/2017,266485
5/5/2017,267267
5/6/2017,268048
5/7/2017,268830
5/8/2017,269611
5/9/2017,270393
5/10/2017,271175
5/11/2017,271956
5/12/2017,272738
5/13/2017,273519
5/14/2017,274301
5/15/2017,275082
5/16/2017,275864
5/17/2017,276646
5/18/2017,277427
5/19/2017,278209
5/20/2017,278990
5/21/2017,279772
5/22/2017,280554
5/23/2017,281335
5/24/2017,282117
5/25/2017,282898
5/26/2017,283680
5/27/2017,284462
5/28/2017,285243
5/29/2017,286025
5/30/2017,286806
5/31/2017,287588
6/1/2017,288370
6/2/2017,289151
6/3/2017,289933
6/4/2017,290714
6/5/2017,291496
6/6/2017,292278
6/7/2017,293059
6/8/2017,293841
6/9/2017,294622
6/10/2017,295404
6/11/2017,296185
6/12/2017,296967
6/13/2017,297749
6/14/2017,298530
6/15/2017,299312
6/16/2017,300093
6/17/2017,300875
6/18/2017,301657
6/19/2017,302438
6/20/2017,303220
6/21/2017,304001
6/22/2017,304783
6/23/2017,305565
6/24/2017,306346
6/25/2017,307128
6/26/2017,307909
6/27/2017,308691
