date,count
1/1/2017,862721
1/2/2017,862874
1/3/2017,863027
1/4/2017,863180
1/5/2017,863333
1/6/2017,863486
1/7/2017,863639
1/8/2017,863792
1/9/2017,863945
1/10/2017,864097
1/11/2017,864250
1/12/2017,864403
1/13/2017,864556
1/14/2017,864709
1/15/2017,864862
1/16/2017,865015
1/17/2017,865168
1/18/2017,865321
1/19/2017,865474
1/20/2017,865627
1/21/2017,865780
1/22/2017,865933
1/23/2017,866086
1/24/2017,866239
1/25/2017,866392
1/26/2017,866545
1/27/2017,866698
1/28/2017,866850
1/29/2017,867003
1/30/2017,867156
1/31/2017,867309
2/1/2017,867462
2/2/2017,867615
2/3/2017,867768
2/4/2017,867921
2/5/2017,868074
2/6/2017,868227
2/7/2017,868380
2/8/2017,868533
2/9/2017,868686
2/10/2017,868839
2/11/2017,868992
2/12/2017,869145
2/13/2017,869298
2/14/2017,869451
2/15/2017,869603
2/16/2017,869756
2/17/2017,869909
2/18/2017,870062
2/19/2017,870215
2/20/2017,870368
2/21/2017,870521
2/22/2017,870674
2/23/2017,870827
2/24/2017,870980
2/25/2017,871133
2/26/2017,871286
2/27/2017,871439
2/28/2017,871592
3/1/2017,871745
3/2/2017,871898
3/3/2017,872051
3/4/2017,872203
3/5/2017,872356
3/6/2017,872509
3/7/2017,872662
3/8/2017,872815
3/9/2017,872968
3/10/2017,873121
3/11/2017,873274
3/12/2017,873427
3/13/2017,873580
3/14/2017,873733
3/15/2017,873886
3/16/2017,874039
3/17/2017,874192
3/18/2017,874345
3/19/2017,874498
3/20/2017,874651
3/21/2017,874804
3/22/2017,874956
3/23/2017,875109
3/24/2017,875262
3/25/2017,875415
3/26/2017,875568
3/27/2017,875721
3/28/2017,875874
3/29/2017,876027
3/30/2017,876180
3/31/2017,920344
4/1/2017,964508
4/2/2017,1008672
4/3/2017,1052836
4/4/2017,1097000
4/5/2017,1097779
4/6/2017,1098557
4/7/2017,1099336
4/8/2017,1100115
4/9/2017,1100893
4/10/2017,1101672
4/11/2017,1102451
4/12/2017,1103230
4/13/2017,1104008
4/14/2017,1104787
4/15/2017,1105566
4/16/2017,1106344
4/17/2017,1107123
4/18/2017,1107902
4/19/2017,1108680
4/20/2017,1109459
4/21/2017,1110238
4/22/2017,1111016
4/23/2017,1111795
4/24/2017,1112574
4/25/2017,1113352
4/26/2017,1114131
4/27/2017,1114910
4/28/2017,1115689
4/29/2017,1116467
4/30/2017,1117246
5/1/2017,1118025
5/2/2017,1118803
5/3/2017,1119582
5/4/2017,1120361
5/5/2017,1121139
5/6/2017,1121918
5/7/2017,1122697
5/8/2017,1123475
5/9/2017,1124254
5/10/2017,1125033
5/11/2017,1125811
5/12/2017,1126590
5/13/2017,1127369
5/14/2017,1128148
5/15/2017,1128926
5/16/2017,1129705
5/17/2017,1130484
5/18/2017,1131262
5/19/2017,1132041
5/20/2017,1132820
5/21/2017,1133598
5/22/2017,1134377
5/23/2017,1135156
5/24/2017,1135934
5/25/2017,1136713
5/26/2017,1137492
5/27/2017,1138270
5/28/2017,1139049
5/29/2017,1139828
5/30/2017,1140607
5/31/2017,1141385
6/1/2017,1142164
6/2/2017,1142943
6/3/2017,1143721
6/4/2017,1144500
6/5/2017,1145279
6/6/2017,1146057
6/7/2017,1146836
6/8/2017,1147615
6/9/2017,1148393
6/10/2017,1149172
6/11/2017,1149951
6/12/2017,1150730
6/13/2017,1151508
6/14/2017,1152287
6/15/2017,1153066
6/16/2017,1153844
6/17/2017,1154623
6/18/2017,1155402
6/19/2017,1156180
6/20/2017,1156959
6/21/2017,1157738
6/22/2017,1158516
6/23/2017,1159295
6/24/2017,1160074
6/25/2017,1160852
6/26/2017,1161631
6/27/2017,1162410
6/28/2017,1163189
6/29/2017,1163967
6/30/2017,1164746
7/1/2017,1165525
7/2/2017,1166303
7/3/2017,1167082
7/4/2017,1167861
7/5/2017,1168639
7/6/2017,1169418
7/7/2017,1170197
7/8/2017,1170975
7/9/2017,1171754
7/10/2017,1172533
7/11/2017,1173311
7/12/2017,1174090
7/13/2017,1174869
7/14/2017,1175648
7/15/2017,1176426
7/16/2017,1177205
7/17/2017,1177984
7/18/2017,1178762
7/19/2017,1179541
7/20/2017,1180320
7/21/2017,1181098
7/22/2017,1181877
7/23/2017,1182656
7/24/2017,1183434
7/25/2017,1184213
7/26/2017,1184992
7/27/2017,1185770
7/28/2017,1186549
7/29/2017,1187328
7/30/2017,1188107
7/31/2017,1188885
8/1/2017,1189664
8/2/2017,1190443
8/3/2017,1191221
8/4/2017,1192000
8/5/2017,1189529
8/6/2017,1187059
8/7/2017,1184588
8/8/2017,1182118
8/9/2017,1179647
8/10/2017,1177176
8/11/2017,1174706
8/12/2017,1172235
8/13/2017,1169765
8/14/2017,1167294
8/15/2017,1164824
8/16/2017,1162353
8/17/2017,1159882
8/18/2017,1157412
8/19/2017,1154941
8/20/2017,1152471
8/21/2017,1150000
8/22/2017,1147529
8/23/2017,1145059
8/24/2017,1142588
8/25/2017,1140118
8/26/2017,1137647
8/27/2017,1135176
8/28/2017,1132706
8/29/2017,1130235
8/30/2017,1127765
8/31/2017,1125294
9/1/2017,1122824
9/2/2017,1120353
9/3/2017,1117882
9/4/2017,1115412
9/5/2017,1112941
9/6/2017,1110471
9/7/2017,1108000
9/8/2017,1108713
9/9/2017,1109426
9/10/2017,1110138
9/11/2017,1110851
9/12/2017,1111564
9/13/2017,1112277
9/14/2017,1112989
9/15/2017,1113702
9/16/2017,1114415
9/17/2017,1115128
9/18/2017,1115840
9/19/2017,1116553
9/20/2017,1117266
9/21/2017,1117979
9/22/2017,1118691
9/23/2017,1119404
9/24/2017,1120117
9/25/2017,1120830
9/26/2017,1121543
9/27/2017,1122255
9/28/2017,1122968
9/29/2017,1123681
9/30/2017,1124394
10/1/2017,1125106
10/2/2017,1125819
10/3/2017,1126532
10/4/2017,1127245
10/5/2017,1127957
10/6/2017,1128670
10/7/2017,1129383
10/8/2017,1130096
10/9/2017,1130809
10/10/2017,1131521
10/11/2017,1132234
10/12/2017,1132947
10/13/2017,1133660
10/14/2017,1134372
10/15/2017,1135085
10/16/2017,1135798
10/17/2017,1136511
10/18/2017,1137223
10/19/2017,1137936
10/20/2017,1138649
10/21/2017,1139362
10/22/2017,1140074
10/23/2017,1140787
10/24/2017,1141500
10/25/2017,1142213
10/26/2017,1142926
10/27/2017,1143638
10/28/2017,1144351
10/29/2017,1145064
10/30/2017,1145777
10/31/2017,1146489
11/1/2017,1147202
11/2/2017,1147915
11/3/2017,1148628
11/4/2017,1149340
11/5/2017,1150053
11/6/2017,1150766
11/7/2017,1151479
11/8/2017,1152191
11/9/2017,1152904
11/10/2017,1153617
11/11/2017,1154330
11/12/2017,1155043
11/13/2017,1155755
11/14/2017,1156468
11/15/2017,1157181
11/16/2017,1157894
11/17/2017,1158606
11/18/2017,1159319
11/19/2017,1160032
11/20/2017,1160745
11/21/2017,1161457
11/22/2017,1162170
11/23/2017,1162883
11/24/2017,1163596
11/25/2017,1164309
11/26/2017,1165021
11/27/2017,1165734
11/28/2017,1166447
11/29/2017,1167160
11/30/2017,1167872
12/1/2017,1168585
12/2/2017,1169298
12/3/2017,1170011
12/4/2017,1170723
12/5/2017,1171436
12/6/2017,1172149
12/7/2017,1172862
12/8/2017,1173574
12/9/2017,1174287
12/10/2017,1175000
12/11/2017,1185842
12/12/2017,1196684
12/13/2017,1207526
12/14/2017,1218368
12/15/2017,1229211
12/16/2017,1240053
12/17/2017,1250895
12/18/2017,1261737
12/19/2017,1272579
12/20/2017,1283421
12/21/2017,1294263
12/22/2017,1305105
12/23/2017,1315947
12/24/2017,1326789
12/25/2017,1337632
12/26/2017,1348474
12/27/2017,1359316
12/28/2017,1370158
12/29/2017,1381000
12/30/2017,1381452
12/31/2017,1381903
1/1/2018,1382355
1/2/2018,1382807
1/3/2018,1383258
1/4/2018,1383710
1/5/2018,1384162
1/6/2018,1384613
1/7/2018,1385065
1/8/2018,1385517
1/9/2018,1385968
1/10/2018,1386420
1/11/2018,1386872
1/12/2018,1387324
1/13/2018,1387775
1/14/2018,1388227
1/15/2018,1388679
1/16/2018,1389130
1/17/2018,1389582
1/18/2018,1390034
1/19/2018,1390485
1/20/2018,1390937
1/21/2018,1391389
1/22/2018,1391840
1/23/2018,1392292
1/24/2018,1392744
1/25/2018,1393195
1/26/2018,1393647
1/27/2018,1394099
1/28/2018,1394550
1/29/2018,1395002
1/30/2018,1395454
1/31/2018,1395905
2/1/2018,1396357
2/2/2018,1396809
2/3/2018,1397261
2/4/2018,1397712
2/5/2018,1398164
2/6/2018,1398616
2/7/2018,1399067
2/8/2018,1399519
2/9/2018,1399971
2/10/2018,1400422
2/11/2018,1400874
2/12/2018,1401326
2/13/2018,1401777
2/14/2018,1402229
2/15/2018,1402681
2/16/2018,1403132
2/17/2018,1403584
2/18/2018,1404036
2/19/2018,1404487
2/20/2018,1404939
2/21/2018,1405391
2/22/2018,1405842
2/23/2018,1406294
2/24/2018,1406746
2/25/2018,1407198
2/26/2018,1407649
2/27/2018,1408101
2/28/2018,1408553
3/1/2018,1409004
3/2/2018,1409456
3/3/2018,1409908
3/4/2018,1410359
3/5/2018,1410811
3/6/2018,1411263
3/7/2018,1411714
3/8/2018,1412166
3/9/2018,1412618
3/10/2018,1413069
3/11/2018,1413521
3/12/2018,1413973
3/13/2018,1414424
3/14/2018,1414876
3/15/2018,1415328
