date,count
1/1/2017,1022575
1/2/2017,1018807
1/3/2017,1015039
1/4/2017,1011271
1/5/2017,1007503
1/6/2017,1003735
1/7/2017,999967
1/8/2017,996199
1/9/2017,992431
1/10/2017,988663
1/11/2017,984895
1/12/2017,981127
1/13/2017,977359
1/14/2017,973591
1/15/2017,969823
1/16/2017,966055
1/17/2017,962288
1/18/2017,958520
1/19/2017,954752
1/20/2017,950984
1/21/2017,947216
1/22/2017,943448
1/23/2017,939680
1/24/2017,935912
1/25/2017,932144
1/26/2017,928376
1/27/2017,924608
1/28/2017,920840
1/29/2017,917072
1/30/2017,913304
1/31/2017,909536
2/1/2017,905768
2/2/2017,902000
2/3/2017,901769
2/4/2017,901538
2/5/2017,901308
2/6/2017,901077
2/7/2017,900846
2/8/2017,900615
2/9/2017,900385
2/10/2017,900154
2/11/2017,899923
2/12/2017,899692
2/13/2017,899462
2/14/2017,899231
2/15/2017,899000
2/16/2017,898769
2/17/2017,898538
2/18/2017,898308
2/19/2017,898077
2/20/2017,897846
2/21/2017,897615
2/22/2017,897385
2/23/2017,897154
2/24/2017,896923
2/25/2017,896692
2/26/2017,896462
2/27/2017,896231
2/28/2017,896000
3/1/2017,1023000
3/2/2017,1150000
3/3/2017,1149385
3/4/2017,1148769
3/5/2017,1148154
3/6/2017,1147538
3/7/2017,1146923
3/8/2017,1146308
3/9/2017,1145692
3/10/2017,1145077
3/11/2017,1144462
3/12/2017,1143846
3/13/2017,1143231
3/14/2017,1142615
3/15/2017,1142000
3/16/2017,1141385
3/17/2017,1140769
3/18/2017,1140154
3/19/2017,1139538
3/20/2017,1138923
3/21/2017,1138308
3/22/2017,1137692
3/23/2017,1137077
3/24/2017,1136462
3/25/2017,1135846
3/26/2017,1135231
3/27/2017,1134615
3/28/2017,1134000
3/29/2017,1133385
3/30/2017,1132769
3/31/2017,1132154
4/1/2017,1131538
4/2/2017,1130923
4/3/2017,1130308
4/4/2017,1129692
4/5/2017,1129077
4/6/2017,1128462
4/7/2017,1127846
4/8/2017,1127231
4/9/2017,1126615
4/10/2017,1126000
4/11/2017,1125385
4/12/2017,1124769
4/13/2017,1124154
4/14/2017,1123538
4/15/2017,1122923
4/16/2017,1122308
4/17/2017,1121692
4/18/2017,1121077
4/19/2017,1120462
4/20/2017,1119846
4/21/2017,1119231
4/22/2017,1118615
4/23/2017,1118000
4/24/2017,1117385
4/25/2017,1116769
4/26/2017,1116154
4/27/2017,1115538
4/28/2017,1114923
4/29/2017,1114308
4/30/2017,1113692
5/1/2017,1113077
5/2/2017,1112462
5/3/2017,1111846
5/4/2017,1111231
5/5/2017,1110615
5/6/2017,1110000
5/7/2017,1088105
5/8/2017,1066211
5/9/2017,1044316
5/10/2017,1022421
5/11/2017,1000526
5/12/2017,978632
5/13/2017,956737
5/14/2017,934842
5/15/2017,912947
5/16/2017,891053
5/17/2017,869158
5/18/2017,847263
5/19/2017,825368
5/20/2017,803474
5/21/2017,781579
5/22/2017,759684
5/23/2017,737789
5/24/2017,715895
5/25/2017,694000
5/26/2017,693925
5/27/2017,693851
5/28/2017,693776
5/29/2017,693702
5/30/2017,693627
5/31/2017,693553
6/1/2017,693478
6/2/2017,693404
6/3/2017,693329
6/4/2017,693255
6/5/2017,693180
6/6/2017,693106
6/7/2017,693031
6/8/2017,692957
6/9/2017,692882
6/10/2017,692808
6/11/2017,692733
6/12/2017,692659
6/13/2017,692584
6/14/2017,692510
6/15/2017,692435
6/16/2017,692361
6/17/2017,692286
6/18/2017,692212
6/19/2017,692137
6/20/2017,692063
6/21/2017,691988
