registrar,count,share
"GoDaddy.com, LLC (GoDaddy Group)","133,867",15.9
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","97,991",11.6
"NameCheap, Inc.","97,511",11.6
1&1 Internet SE (United Internet AG),"48,950",5.8
PDR Ltd. d/b/a PublicDomainRegistry.com,"45,727",5.4
"Network Solutions, LLC (Web.com)","42,710",5.1
"Tucows Domains Inc. (OpenSRS / Hover, Tucows)","26,266",3.1
"eNom, Inc. (Tucows)","23,195",2.8
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","22,855",2.7
"GMO Internet, Inc. d/b/a Onamae.com","20,912",2.5
