date,count
1/1/2017,113109
1/2/2017,113781
1/3/2017,114453
1/4/2017,115126
1/5/2017,115798
1/6/2017,116470
1/7/2017,117142
1/8/2017,117815
1/9/2017,118487
1/10/2017,119159
1/11/2017,119831
1/12/2017,120504
1/13/2017,121176
1/14/2017,121848
1/15/2017,122520
1/16/2017,123192
1/17/2017,123865
1/18/2017,124537
1/19/2017,125209
1/20/2017,125881
1/21/2017,126554
1/22/2017,127226
1/23/2017,127898
1/24/2017,128570
1/25/2017,129243
1/26/2017,129915
1/27/2017,130587
1/28/2017,131259
1/29/2017,131931
1/30/2017,132604
1/31/2017,133276
2/1/2017,133948
2/2/2017,134620
2/3/2017,135293
2/4/2017,135965
2/5/2017,136637
2/6/2017,137309
2/7/2017,137982
2/8/2017,138654
2/9/2017,139326
2/10/2017,139998
2/11/2017,140670
2/12/2017,141343
2/13/2017,142015
2/14/2017,142687
2/15/2017,143359
2/16/2017,144032
2/17/2017,144704
2/18/2017,145376
2/19/2017,146048
2/20/2017,146721
2/21/2017,147393
2/22/2017,148065
2/23/2017,148737
2/24/2017,149409
2/25/2017,150082
2/26/2017,150754
2/27/2017,151426
2/28/2017,152098
3/1/2017,152771
3/2/2017,153443
3/3/2017,154115
3/4/2017,154787
3/5/2017,155460
3/6/2017,156132
3/7/2017,156804
3/8/2017,157476
3/9/2017,158148
3/10/2017,158821
3/11/2017,159493
3/12/2017,160165
3/13/2017,160837
3/14/2017,161510
3/15/2017,162182
3/16/2017,162854
3/17/2017,163526
3/18/2017,164199
3/19/2017,164871
3/20/2017,165543
3/21/2017,166215
3/22/2017,166887
3/23/2017,167560
3/24/2017,168232
3/25/2017,168904
3/26/2017,169576
3/27/2017,170249
3/28/2017,170921
3/29/2017,171593
3/30/2017,172265
3/31/2017,172938
4/1/2017,173610
4/2/2017,174282
4/3/2017,174954
4/4/2017,175626
4/5/2017,176299
4/6/2017,176971
4/7/2017,177643
4/8/2017,178315
4/9/2017,178988
4/10/2017,179660
4/11/2017,180332
4/12/2017,181004
4/13/2017,181677
4/14/2017,182349
4/15/2017,183021
4/16/2017,183693
4/17/2017,184365
4/18/2017,185038
4/19/2017,185710
4/20/2017,186382
4/21/2017,187054
4/22/2017,187727
4/23/2017,188399
4/24/2017,189071
4/25/2017,189743
4/26/2017,190416
4/27/2017,191088
4/28/2017,191760
4/29/2017,192432
4/30/2017,193104
5/1/2017,193777
5/2/2017,194449
5/3/2017,195121
5/4/2017,195793
5/5/2017,196466
5/6/2017,197138
5/7/2017,197810
5/8/2017,198482
5/9/2017,199155
5/10/2017,199827
5/11/2017,200499
5/12/2017,201171
5/13/2017,201843
5/14/2017,202516
5/15/2017,203188
5/16/2017,203860
5/17/2017,204532
5/18/2017,205205
5/19/2017,205877
5/20/2017,206549
5/21/2017,207221
5/22/2017,207893
5/23/2017,208566
5/24/2017,209238
5/25/2017,209910
5/26/2017,210582
5/27/2017,211255
5/28/2017,211927
5/29/2017,212599
5/30/2017,213271
5/31/2017,213944
6/1/2017,214616
6/2/2017,215288
6/3/2017,215960
6/4/2017,216632
6/5/2017,217305
6/6/2017,217977
6/7/2017,218649
6/8/2017,219321
6/9/2017,219994
6/10/2017,220666
6/11/2017,221338
6/12/2017,222010
6/13/2017,222683
6/14/2017,223355
6/15/2017,224027
6/16/2017,224699
6/17/2017,225371
6/18/2017,226044
6/19/2017,226716
6/20/2017,227388
6/21/2017,228060
6/22/2017,228733
6/23/2017,229405
6/24/2017,230077
6/25/2017,230749
6/26/2017,231422
6/27/2017,232094
6/28/2017,232766
6/29/2017,233438
6/30/2017,234110
7/1/2017,234783
7/2/2017,235455
7/3/2017,236127
7/4/2017,236799
7/5/2017,237472
7/6/2017,238144
7/7/2017,238816
7/8/2017,239488
7/9/2017,240161
7/10/2017,240833
7/11/2017,241505
7/12/2017,242177
7/13/2017,242849
7/14/2017,243522
7/15/2017,244194
7/16/2017,244866
7/17/2017,245538
7/18/2017,246211
7/19/2017,246883
7/20/2017,247555
7/21/2017,248227
7/22/2017,248900
7/23/2017,249572
7/24/2017,250244
7/25/2017,250916
7/26/2017,251588
7/27/2017,252261
7/28/2017,252933
7/29/2017,253605
7/30/2017,254277
7/31/2017,254950
8/1/2017,255622
8/2/2017,256294
8/3/2017,256966
8/4/2017,257639
8/5/2017,258311
8/6/2017,258983
8/7/2017,259655
8/8/2017,260327
8/9/2017,261000
8/10/2017,261672
8/11/2017,262344
8/12/2017,263016
8/13/2017,263689
8/14/2017,264361
8/15/2017,265033
8/16/2017,265705
