registrar,count,share
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","182,954",32.3
"GMO Internet, Inc. d/b/a Onamae.com","116,987",20.7
"Epik, Inc.","34,967",6.2
"GoDaddy.com, LLC (GoDaddy Group)","34,279",6.1
"Tucows Domains Inc. (OpenSRS / Hover, Tucows)","22,194",3.9
"NameCheap, Inc.","13,100",2.3
united-domains AG (United Internet AG),"13,010",2.3
1&1 Internet SE (United Internet AG),"11,142",2.0
"Cronon AG (Strato AG, United Internet AG)","10,523",1.9
"Key-Systems, LLC (KeyDrive Group)","10,337",1.8
