date,count
1/1/2017,583602
1/2/2017,583831
1/3/2017,584060
1/4/2017,584289
1/5/2017,584518
1/6/2017,584747
1/7/2017,584976
1/8/2017,585205
1/9/2017,585434
1/10/2017,585663
1/11/2017,585892
1/12/2017,586121
1/13/2017,586350
1/14/2017,586579
1/15/2017,586808
1/16/2017,587036
1/17/2017,587265
1/18/2017,587494
1/19/2017,587723
1/20/2017,587952
1/21/2017,588181
1/22/2017,588410
1/23/2017,588639
1/24/2017,588868
1/25/2017,589097
1/26/2017,589326
1/27/2017,589555
1/28/2017,589784
1/29/2017,590013
1/30/2017,590242
1/31/2017,590471
2/1/2017,590700
2/2/2017,590929
2/3/2017,591158
2/4/2017,591387
2/5/2017,591616
2/6/2017,591845
2/7/2017,592074
2/8/2017,592303
2/9/2017,592532
2/10/2017,592761
2/11/2017,592990
2/12/2017,593219
2/13/2017,593448
2/14/2017,593677
2/15/2017,593905
2/16/2017,594134
2/17/2017,594363
2/18/2017,594592
2/19/2017,594821
2/20/2017,595050
2/21/2017,595279
2/22/2017,595508
2/23/2017,595737
2/24/2017,595966
2/25/2017,596195
2/26/2017,596424
2/27/2017,596653
2/28/2017,596882
3/1/2017,597111
3/2/2017,597340
3/3/2017,597569
3/4/2017,597798
3/5/2017,598027
3/6/2017,598256
3/7/2017,598485
3/8/2017,598714
3/9/2017,598943
3/10/2017,599172
3/11/2017,599401
3/12/2017,599630
3/13/2017,599859
3/14/2017,600088
3/15/2017,600317
3/16/2017,600545
3/17/2017,600774
3/18/2017,601003
3/19/2017,601232
3/20/2017,601461
3/21/2017,601690
3/22/2017,601919
3/23/2017,602148
3/24/2017,602377
3/25/2017,602606
3/26/2017,602835
3/27/2017,603064
3/28/2017,603293
3/29/2017,603522
3/30/2017,603751
3/31/2017,648054
4/1/2017,692356
4/2/2017,736659
4/3/2017,780961
4/4/2017,825264
4/5/2017,825591
4/6/2017,825918
4/7/2017,826245
4/8/2017,826572
4/9/2017,826899
4/10/2017,827226
4/11/2017,827553
4/12/2017,827880
4/13/2017,828206
4/14/2017,828533
4/15/2017,828860
4/16/2017,829187
4/17/2017,829514
4/18/2017,829841
4/19/2017,830168
4/20/2017,830495
4/21/2017,830822
4/22/2017,831149
4/23/2017,831476
4/24/2017,831803
4/25/2017,832130
4/26/2017,832457
4/27/2017,832784
4/28/2017,833111
4/29/2017,833438
4/30/2017,833764
5/1/2017,834091
5/2/2017,834418
5/3/2017,834745
5/4/2017,835072
5/5/2017,835399
5/6/2017,835726
5/7/2017,836053
5/8/2017,836380
5/9/2017,836707
5/10/2017,837034
5/11/2017,837361
5/12/2017,837688
5/13/2017,838015
5/14/2017,838342
5/15/2017,838669
5/16/2017,838996
5/17/2017,839323
5/18/2017,839649
5/19/2017,839976
5/20/2017,840303
5/21/2017,840630
5/22/2017,840957
5/23/2017,841284
5/24/2017,841611
5/25/2017,841938
5/26/2017,842265
5/27/2017,842592
5/28/2017,842919
5/29/2017,843246
5/30/2017,843573
5/31/2017,843900
6/1/2017,844227
6/2/2017,844554
6/3/2017,844881
6/4/2017,845207
6/5/2017,845534
6/6/2017,845861
6/7/2017,846188
6/8/2017,846515
6/9/2017,846842
6/10/2017,847169
6/11/2017,847496
6/12/2017,847823
6/13/2017,848150
6/14/2017,848477
6/15/2017,848804
6/16/2017,849131
6/17/2017,849458
6/18/2017,849785
6/19/2017,850112
6/20/2017,850439
6/21/2017,850765
6/22/2017,851092
6/23/2017,851419
6/24/2017,851746
6/25/2017,852073
6/26/2017,852400
6/27/2017,852727
6/28/2017,853054
6/29/2017,853381
6/30/2017,853708
7/1/2017,854035
7/2/2017,854362
7/3/2017,854689
7/4/2017,855016
7/5/2017,855343
7/6/2017,855670
7/7/2017,855997
7/8/2017,856324
7/9/2017,856650
7/10/2017,856977
7/11/2017,857304
7/12/2017,857631
7/13/2017,857958
7/14/2017,858285
7/15/2017,858612
7/16/2017,858939
7/17/2017,859266
7/18/2017,859593
7/19/2017,859920
7/20/2017,860247
7/21/2017,860574
7/22/2017,860901
7/23/2017,861228
7/24/2017,861555
7/25/2017,861882
7/26/2017,862208
7/27/2017,862535
7/28/2017,862862
7/29/2017,863189
7/30/2017,863516
7/31/2017,863843
8/1/2017,864170
8/2/2017,864497
8/3/2017,864824
8/4/2017,861193
8/5/2017,857562
8/6/2017,853930
8/7/2017,850299
8/8/2017,846668
8/9/2017,843037
8/10/2017,839405
8/11/2017,835774
8/12/2017,832143
8/13/2017,828512
8/14/2017,824880
8/15/2017,821249
8/16/2017,817618
8/17/2017,813987
8/18/2017,810355
8/19/2017,806724
8/20/2017,803093
8/21/2017,799462
8/22/2017,795830
8/23/2017,792199
8/24/2017,792223
8/25/2017,792247
8/26/2017,792271
8/27/2017,792295
8/28/2017,792319
8/29/2017,792343
8/30/2017,792367
8/31/2017,792391
9/1/2017,792415
9/2/2017,792440
9/3/2017,792464
9/4/2017,792488
9/5/2017,792512
9/6/2017,792536
9/7/2017,792560
9/8/2017,792584
9/9/2017,792608
9/10/2017,792632
9/11/2017,792656
9/12/2017,792680
9/13/2017,792704
9/14/2017,792728
9/15/2017,792752
9/16/2017,792776
9/17/2017,792800
9/18/2017,792824
9/19/2017,792848
9/20/2017,792872
9/21/2017,792897
9/22/2017,792921
9/23/2017,792945
9/24/2017,792969
9/25/2017,792993
9/26/2017,793017
9/27/2017,793041
9/28/2017,793065
9/29/2017,793089
9/30/2017,793113
10/1/2017,793137
10/2/2017,793161
10/3/2017,793185
10/4/2017,793209
10/5/2017,793233
10/6/2017,793257
10/7/2017,793281
10/8/2017,793305
10/9/2017,793329
10/10/2017,793353
10/11/2017,793378
10/12/2017,793402
10/13/2017,793426
10/14/2017,793450
10/15/2017,793474
10/16/2017,793498
10/17/2017,793522
10/18/2017,793546
10/19/2017,793570
10/20/2017,793594
10/21/2017,793618
10/22/2017,793642
10/23/2017,793666
10/24/2017,793690
10/25/2017,793714
10/26/2017,793738
10/27/2017,793762
10/28/2017,793786
10/29/2017,793810
10/30/2017,793835
10/31/2017,793859
11/1/2017,793883
11/2/2017,793907
11/3/2017,793931
11/4/2017,793955
11/5/2017,793979
11/6/2017,794003
11/7/2017,794027
11/8/2017,794051
11/9/2017,794075
11/10/2017,794099
11/11/2017,794123
11/12/2017,794147
11/13/2017,794171
11/14/2017,794195
11/15/2017,794219
11/16/2017,794243
11/17/2017,794267
11/18/2017,794292
11/19/2017,794316
11/20/2017,794340
11/21/2017,794364
11/22/2017,794388
11/23/2017,794412
11/24/2017,794436
11/25/2017,794460
11/26/2017,794484
11/27/2017,794508
11/28/2017,794532
11/29/2017,794556
11/30/2017,794580
12/1/2017,794604
12/2/2017,794628
12/3/2017,794652
12/4/2017,794676
12/5/2017,794700
12/6/2017,794724
12/7/2017,794748
12/8/2017,794773
12/9/2017,794797
12/10/2017,794821
12/11/2017,794845
12/12/2017,794869
12/13/2017,794893
12/14/2017,794917
12/15/2017,794941
12/16/2017,794965
12/17/2017,794989
12/18/2017,814553
12/19/2017,834116
12/20/2017,853680
12/21/2017,873243
12/22/2017,892807
12/23/2017,912370
12/24/2017,931934
12/25/2017,931488
12/26/2017,931042
12/27/2017,930595
12/28/2017,930149
12/29/2017,929703
12/30/2017,929257
12/31/2017,928810
1/1/2018,928364
1/2/2018,927918
1/3/2018,927472
1/4/2018,927025
1/5/2018,926579
1/6/2018,926133
1/7/2018,925687
1/8/2018,925240
1/9/2018,924794
1/10/2018,924348
1/11/2018,923902
1/12/2018,923455
1/13/2018,923009
1/14/2018,922563
1/15/2018,922117
1/16/2018,921670
1/17/2018,921224
1/18/2018,920778
1/19/2018,920332
1/20/2018,919885
1/21/2018,919439
1/22/2018,918993
1/23/2018,918547
1/24/2018,918100
1/25/2018,917654
1/26/2018,917208
1/27/2018,916762
1/28/2018,916316
1/29/2018,915869
1/30/2018,915423
1/31/2018,914977
2/1/2018,914531
2/2/2018,914084
2/3/2018,913638
2/4/2018,913192
2/5/2018,912746
2/6/2018,912299
2/7/2018,911853
2/8/2018,911407
2/9/2018,910961
2/10/2018,910514
2/11/2018,910068
2/12/2018,909622
2/13/2018,909176
2/14/2018,908729
2/15/2018,908283
2/16/2018,907837
2/17/2018,907391
2/18/2018,906944
2/19/2018,906498
2/20/2018,906052
2/21/2018,905606
2/22/2018,905159
2/23/2018,904713
2/24/2018,904267
2/25/2018,903821
2/26/2018,903374
2/27/2018,902928
2/28/2018,902482
3/1/2018,902120
3/2/2018,901757
3/3/2018,901395
3/4/2018,901033
3/5/2018,900671
3/6/2018,900308
3/7/2018,899946
3/8/2018,899584
3/9/2018,899221
3/10/2018,898859
3/11/2018,898497
3/12/2018,898135
3/13/2018,897772
3/14/2018,897410
3/15/2018,897048
3/16/2018,896685
3/17/2018,896323
3/18/2018,895961
3/19/2018,895598
3/20/2018,895236
3/21/2018,894874
3/22/2018,894512
3/23/2018,894149
3/24/2018,893787
3/25/2018,893425
3/26/2018,893062
3/27/2018,892700
3/28/2018,892338
3/29/2018,891976
3/30/2018,891613
3/31/2018,891251
4/1/2018,890889
4/2/2018,890526
4/3/2018,890164
4/4/2018,889802
4/5/2018,889440
4/6/2018,889077
4/7/2018,888715
4/8/2018,888353
4/9/2018,887990
4/10/2018,887628
4/11/2018,887266
4/12/2018,886903
4/13/2018,886541
4/14/2018,886179
4/15/2018,885817
4/16/2018,885454
4/17/2018,885092
4/18/2018,884730
4/19/2018,884367
4/20/2018,884005
4/21/2018,883643
4/22/2018,883281
4/23/2018,882918
4/24/2018,882556
