registrar,count,share
"EIMS (Shenzhen) Culture & Technology Co., Ltd","266,939",30.2
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","173,263",19.6
ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,"135,303",15.3
"22net, Inc.","124,378",14.1
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","80,612",9.1
"GoDaddy.com, LLC (GoDaddy Group)","23,736",2.7
DOMAIN NAME NETWORK PTY LTD,"14,372",1.6
"eName Technology Co., Ltd.","9,449",1.1
"Zhengzhou Century Connect Electronic Technology Development Co., Ltd","7,322",0.8
Xin Net Technology Corporation,"7,284",0.8
