date,count
1/1/2017,980009
1/2/2017,977824
1/3/2017,975639
1/4/2017,973455
1/5/2017,971270
1/6/2017,969085
1/7/2017,966900
1/8/2017,964715
1/9/2017,962531
1/10/2017,960346
1/11/2017,958161
1/12/2017,955976
1/13/2017,953791
1/14/2017,951607
1/15/2017,949422
1/16/2017,947237
1/17/2017,945052
1/18/2017,942868
1/19/2017,940683
1/20/2017,938498
1/21/2017,936313
1/22/2017,934128
1/23/2017,931944
1/24/2017,929759
1/25/2017,927574
1/26/2017,925389
1/27/2017,923204
1/28/2017,921020
1/29/2017,918835
1/30/2017,916650
1/31/2017,902500
2/1/2017,888349
2/2/2017,874199
2/3/2017,873921
2/4/2017,873643
2/5/2017,873365
2/6/2017,873087
2/7/2017,872809
2/8/2017,872531
2/9/2017,872252
2/10/2017,871974
2/11/2017,871696
2/12/2017,871418
2/13/2017,871140
2/14/2017,870862
2/15/2017,870584
2/16/2017,870306
2/17/2017,870028
2/18/2017,869750
2/19/2017,869472
2/20/2017,869194
2/21/2017,868916
2/22/2017,868637
2/23/2017,868359
2/24/2017,868081
2/25/2017,867803
2/26/2017,867525
2/27/2017,867247
2/28/2017,866969
3/1/2017,993485
3/2/2017,1120000
3/3/2017,1119600
3/4/2017,1119200
3/5/2017,1118800
3/6/2017,1118400
3/7/2017,1118000
3/8/2017,1117600
3/9/2017,1117200
3/10/2017,1116800
3/11/2017,1116400
3/12/2017,1116000
3/13/2017,1115600
3/14/2017,1115200
3/15/2017,1114800
3/16/2017,1114400
3/17/2017,1114000
3/18/2017,1113600
3/19/2017,1113200
3/20/2017,1112800
3/21/2017,1112400
3/22/2017,1112000
3/23/2017,1108333
3/24/2017,1104667
3/25/2017,1101000
3/26/2017,1097333
3/27/2017,1093667
3/28/2017,1090000
3/29/2017,1090000
3/30/2017,1090000
3/31/2017,1090000
4/1/2017,1090000
4/2/2017,1090000
4/3/2017,1090000
4/4/2017,1090000
4/5/2017,1090000
4/6/2017,1090000
4/7/2017,1090000
4/8/2017,1090000
4/9/2017,1090000
4/10/2017,1090000
4/11/2017,1090000
4/12/2017,1090000
4/13/2017,1090000
4/14/2017,1090000
