registrar,count,share
"NameCheap, Inc.","232,330",34.3
"Chengdu West Dimension Digital Technology Co., Ltd. (www.west.cn)","167,052",24.7
"Alibaba Cloud Computing Ltd. (HiChina / www.net.cn, Alibaba Group Holding Ltd.)","123,596",18.3
West263 International Limited,"58,106",8.6
"Todaynic.com, Inc.","19,032",2.8
Alpnames Limited,"12,337",1.8
Eranet International Limited,"8,819",1.3
"NameSilo, LLC","8,095",1.2
PDR Ltd. d/b/a PublicDomainRegistry.com,"6,750",1.0
Xin Net Technology Corporation,"5,968",0.9
